"text","inputModeHint","isForAnotherPersonHint","actionType","postNature","targetAudience","postInputMode","locationSharingMode","dangerLevel","helpType","requesterProfile","helpInputMode","presetMessageKey","needsAudioGuidance","needsVisualSupport","needsPhysicalAssistance","needsSimpleLanguage","isForAnotherPerson"
"besoin accompagnement jusquau taxi","headEyes","False","create_help_request","none","none","none","none","none","escort","cognitive","voice","escort","False","False","False","True","False"
"escort pour personne agee peur foule","vibration","False","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","False","False","False","False","False"
"pour ma tante aide mobilite ascenseur","deafBlind","True","create_help_request","none","none","none","none","none","mobility","caregiver","text","cannot_reach","False","False","False","False","True"
"caregiver demande aide pour patient","caregiver","False","create_help_request","none","none","none","none","none","mobility","caregiver","caregiver","cannot_reach","False","False","False","True","False"
"aide svp vite coince sous marquise","text","False","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","False","False","True","False","False"
"aide rapide besoin orientation gare","tap","False","create_help_request","none","none","none","none","none","orientation","visual","tap","lost","True","True","False","False","False"
"simple je suis perdu aidez moi","haptic","False","create_help_request","none","none","none","none","none","orientation","cognitive","text","lost","False","False","False","True","False"
"besoin langage simple guichet","volume_shortcut","False","create_help_request","none","none","none","none","none","communication","cognitive","voice","cannot_reach","False","False","False","True","False"
"guidage vocal pour sortie accessible","keyboard","False","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","True","True","False","False","False"
"yeux fatigue besoin contrast eleve","voice","False","create_help_request","none","none","none","none","none","orientation","visual","text","lost","True","True","False","True","False"
"mrigel ou est la rampe ya confusion","headEyes","False","create_help_request","none","none","none","none","none","orientation","unknown","haptic","lost","False","False","False","False","False"
"unsafe passage nuit sans eclairage","vibration","False","create_help_request","none","none","none","none","none","unsafe_access","unknown","voice","blocked","False","False","False","False","False"
"other probleme non liste urgence legere","deafBlind","False","create_help_request","none","none","none","none","none","other","unknown","text","none","False","False","False","True","False"
"je suis perdu entre deux batiments","caregiver","False","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","False","False","False","False","False"
"mobilite urgence fauteuil coince porte","text","False","create_help_request","none","none","none","none","none","mobility","motor","voice","blocked","False","False","True","False","False"
"communication SLS besoin urgent","tap","False","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","False","False","False","True","False"
"medical urgent douleur thoracique","haptic","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","False","False","False"
"escort needed pour traverser grande avenue","volume_shortcut","False","create_help_request","none","none","none","none","none","escort","visual","voice","escort","False","True","False","False","False"
"svp orientation ya bruit je comprends pas","keyboard","False","create_help_request","none","none","none","none","none","orientation","hearing","voice","lost","False","False","False","True","False"
"jarrive pas lire le plan besoin aide","voice","False","create_help_request","none","none","none","none","none","orientation","visual","text","lost","True","True","False","False","False"
"coince trottoir etroit avec deux cannes","headEyes","False","create_help_request","none","none","none","none","none","mobility","motor","haptic","blocked","False","False","True","False","False"
"entree principale bloquee par voiture","vibration","False","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","False","False","True","True","False"
"besoin parler lentement au standard","deafBlind","False","create_help_request","none","none","none","none","none","communication","hearing","voice","cannot_reach","False","False","False","False","False"
"crise sucre besoin assistance medicale","caregiver","False","create_help_request","none","none","none","none","none","medical","unknown","tap","medical_urgent","False","False","False","False","False"
"raccompagnement jusqua billetterie","text","False","create_help_request","none","none","none","none","none","escort","motor","caregiver","escort","False","False","True","True","False"
"pour autrui demande escort urgence","tap","False","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","False","False","False","False","False"
"urgent svp jarrive pas respirer bien","haptic","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","False","False","False"
"aide svp rapide orientation sortie metro","volume_shortcut","False","create_help_request","none","none","none","none","none","orientation","unknown","volume_shortcut","lost","False","False","False","True","False"
"pas acces ya fosse travaux","keyboard","False","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","False","False","True","False","False"
"communication ecriture grand caractere","voice","False","create_help_request","none","none","none","none","none","communication","visual","text","cannot_reach","False","True","False","False","False"
"guidage visuel ligne au sol manquante","headEyes","False","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","True","True","False","True","False"
"simple phrase besoin aide maintenant","vibration","False","create_help_request","none","none","none","none","none","mobility","cognitive","text","blocked","False","False","False","True","False"
"aide svp urgent jarrive pas monter","deafBlind","False","create_help_request","none","none","none","none","none","mobility","motor","voice","blocked","False","False","True","False","False"
"je suis perdu entre deux quais gare","caregiver","False","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","False","False","False","True","False"
"orientation rapide svp je suis stresse","text","False","create_help_request","none","none","none","none","none","orientation","cognitive","haptic","lost","False","False","False","True","False"
"mobilite jarrive pas franchir seuil","tap","False","create_help_request","none","none","none","none","none","mobility","motor","tap","cannot_reach","False","False","True","False","False"
"unsafe_access entree glissante pluie","haptic","False","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","False","False","True","True","False"
"communication besoin relais ecrit guichet","volume_shortcut","False","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","False","False","False","False","False"
"medical urgence fatigue extreme","keyboard","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","False","False","False"
"escort pour traverser passage souterrain","voice","False","create_help_request","none","none","none","none","none","escort","visual","voice","escort","False","True","False","True","False"
"pour personne accompagnee besoin aide rapide","headEyes","True","create_help_request","none","none","none","none","none","mobility","caregiver","caregiver","cannot_reach","False","False","False","False","True"
"caregiver: mon pere tombe souvent besoin escort","vibration","False","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","False","False","False","False","False"
"besoin phrases simples urgence administrative","deafBlind","False","create_help_request","none","none","none","none","none","communication","cognitive","text","cannot_reach","False","False","False","True","False"
"guidage pas a pas audio vers sortie","caregiver","False","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","True","True","False","False","False"
"besoin contraste fort pour lire panneau","text","False","create_help_request","none","none","none","none","none","orientation","visual","text","lost","True","True","False","False","False"
"mrigel ya denivelé jarrive pas","tap","False","create_help_request","none","none","none","none","none","mobility","motor","haptic","blocked","False","False","True","True","False"
"urgent aide svp coince ascenseur","haptic","False","create_help_request","none","none","none","none","none","mobility","motor","volume_shortcut","blocked","False","False","True","False","False"
"pas acces trottoir barre chantier long","volume_shortcut","False","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","False","False","True","False","False"
"communication impossible telephone bruyant","keyboard","False","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","False","False","False","True","False"
"medical signaler vertiges violents","voice","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","False","False","False"
"escort needed pour elderly slow walker","headEyes","False","create_help_request","none","none","none","none","none","escort","motor","caregiver","escort","False","False","True","False","False"
"other demande mineure orientation hall","vibration","False","create_help_request","none","none","none","none","none","other","unknown","text","none","False","False","False","True","False"
"je cherche la billetterie accessible au niveau zero","keyboard","false","create_help_request","none","none","none","none","none","orientation","visual","text","lost","true","true","false","true","false"
"difficulte a rejoindre le quai en fauteuil besoin chemin plat","voice","false","create_help_request","none","none","none","none","none","orientation","motor","voice","lost","false","false","true","false","false"
"hall aeroport sens unique je ne trouve pas la correspondance","headEyes","false","create_help_request","none","none","none","none","none","orientation","unknown","tap","lost","false","false","false","false","false"
"porte automatique trop lente je reste bloque au milieu","vibration","false","create_help_request","none","none","none","none","none","mobility","motor","haptic","blocked","false","false","true","false","false"
"mon fils en fauteuil ne peut pas passer le tourniquet","deafBlind","true","create_help_request","none","none","none","none","none","mobility","caregiver","caregiver","cannot_reach","false","false","false","true","true"
"pente provisoire tres glissante sans main courante","caregiver","false","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","false","false","true","false","false"
"corridor mal eclaire je ne vois pas le sol correctement","text","false","create_help_request","none","none","none","none","none","unsafe_access","visual","voice","blocked","false","true","false","false","false"
"besoin video en langue des signes pour annonces de retard","tap","false","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","false","false","false","false","false"
"procedure administrative trop longue merci de reformuler simplement","haptic","false","create_help_request","none","none","none","none","none","communication","cognitive","voice","cannot_reach","false","false","false","true","false"
"reaction allergique qui gonfle vite besoin avis medical","volume_shortcut","false","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","false","false","false","false","false"
"personne agee desorientee merci raccompagnement jusqu a la sortie","keyboard","false","create_help_request","none","none","none","none","none","escort","cognitive","caregiver","escort","false","false","false","true","false"
"besoin aide pour transfert du fauteuil vers le siege du taxi","voice","true","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","false","false","false","false","true"
"panneau ecrit trop petit impossible a lire a distance","headEyes","false","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","true","true","false","true","false"
"tapis roulant arrete entre deux niveaux je suis bloque","vibration","false","create_help_request","none","none","none","none","none","mobility","motor","volume_shortcut","blocked","false","false","true","false","false"
"correspondance bus mal indiquee sur le plan papier","deafBlind","false","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","false","false","false","false","false"
"guichet sans boucle magnetique audible pour mon appareil","caregiver","false","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","false","false","false","false","false"
"chute recente douleur au poignet besoin evaluation rapide","text","false","create_help_request","none","none","none","none","none","medical","unknown","tap","medical_urgent","false","false","false","true","false"
"carrefour large sans signal sonore aide pour traverser","tap","false","create_help_request","none","none","none","none","none","escort","visual","voice","escort","false","true","false","false","false"
"ecart entre quai et train trop large avec fente dangereuse","haptic","false","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","false","false","true","false","false"
"question horaires navette PMR sans urgence vitale","volume_shortcut","false","create_help_request","none","none","none","none","none","other","unknown","text","none","false","false","false","false","false"
"annonces incomprehensibles merci repetition ecrite si possible","keyboard","false","create_help_request","none","none","none","none","none","orientation","hearing","voice","lost","false","false","false","true","false"
"ascenseur trop petit pour chariot medical et patient ensemble","voice","false","create_help_request","none","none","none","none","none","mobility","motor","text","cannot_reach","false","false","true","false","false"
"formulaire tres long merci aide pour remplir case par case","headEyes","false","create_help_request","none","none","none","none","none","communication","cognitive","text","cannot_reach","false","false","false","true","false"
"montee raide jusqu a lentree secours besoin poussette fauteuil","vibration","false","create_help_request","none","none","none","none","none","escort","motor","caregiver","escort","false","false","true","false","false"
"zone travaux sans detour signale pour fauteuil bonjour","deafBlind","false","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","false","false","true","true","false"
"svp ya denivele jarrive pas monter seul aide mobilité","caregiver","false","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","false","false","true","false","false"
"ma nchoufech besoin info pharmacie ouverte maintenant","voice","false","create_post","information","visual","voice","approximate","none","none","none","none","none","True","False","False","True","False"
"besoin conseil manchoufech pour traverser la rue","voice","false","create_post","conseil","visual","voice","none","low","none","none","none","none","True","False","False","True","False"
"non voyante je veux publier un temoignage positif","voice","false","create_post","temoignage","visual","voice","none","none","none","none","none","none","True","False","False","False","False"
"mal voyante temoignage personnel sur accueil au guichet","voice","false","create_post","temoignage","visual","voice","none","none","none","none","none","none","True","False","False","False","False"
"text avant ma nchoufech besoin orientation gare","voice","false","create_post","information","visual","voice","approximate","none","none","none","none","none","True","False","False","True","False"
"malvoyante alerte passage dangereux sans bande podotactile","voice","false","create_post","alerte","visual","voice","precise","critical","none","none","none","none","True","False","True","True","False"
"non-voyante info lieu avec ascenseur pmr","voice","false","create_post","information","visual","voice","approximate","none","none","none","none","none","True","False","False","False","False"
"ma nchoufech cherche cafe accessible pres gare","voice","false","create_post","information","visual","voice","approximate","none","none","none","none","none","True","False","False","True","False"
"je veux publier","keyboard","false","create_post","information","all","keyboard","none","low","none","none","none","none","False","False","False","False","False"
"je veux poster une photo","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"je veux signaler un obstacle","headEyes","false","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","True","False"
"escalier sans rampe","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"entrée inaccessible","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"rampe absente","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"accès difficile","keyboard","false","create_post","signalement","motor","keyboard","approximate","medium","none","none","none","none","False","False","True","True","False"
"dernier post","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"voir les posts","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"nheb nposti","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"nheb nposti taswira","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"nhabet post","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"fama obstacle","voice","false","create_post","signalement","all","voice","approximate","medium","none","none","none","none","False","False","True","True","False"
"ma famech rampe","voice","false","create_post","signalement","motor","voice","approximate","medium","none","none","none","none","False","False","True","True","False"
"nheb nchouf les posts","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"derenier post","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"voir derenier post","voice","false","create_post","information","all","voice","none","low","none","none","none","none","False","False","False","False","False"
"lire commentaire dernier poste","voice","false","create_post","information","all","voice","none","low","none","none","none","none","True","False","False","False","False"
"lire commentaires derenier poste","voice","false","create_post","information","all","voice","none","low","none","none","none","none","True","False","False","False","False"
"lire resume dernier poste","voice","false","create_post","information","all","voice","none","low","none","none","none","none","True","False","False","False","False"
"lire resume derenier poste","keyboard","false","create_post","information","all","keyboard","none","low","none","none","none","none","True","False","False","False","False"
"ouvre camera","voice","false","create_post","signalement","all","headEyes","none","medium","none","none","none","none","False","False","True","False","False"
"ouvrir camera tete yeux pour poster","voice","false","create_post","signalement","all","headEyes","none","medium","none","none","none","none","False","False","True","False","False"
"open camera post","keyboard","false","create_post","signalement","all","headEyes","none","medium","none","none","none","none","False","False","True","False","False"
